sludinajuma_saite,bilde,apraksts,marka,gads,tips,tilpums,nobraukums,cena

https://www.ss.lv//msg/lv/transport/cars/fiat/doblo/egope.html ,https://i.ss.lv/gallery/7/1215/303593/60718435.th2.jpg ,Fiat Doblo 1.4 benzins/gaze. Tikko ievests no Belgijas. - Latvija na,FiatDoblo,2009,Benzīns,1.4,233000,3950

https://www.ss.lv//msg/lv/transport/cars/ford/focusc-max/blxdlj.html ,https://i.ss.lv/gallery/6/1114/278287/55657381.th2.jpg ,"Ford C Max 1, 0 benzīns 74kw, kondicionieris, kruīza kontrole, el regulē",FordC-Max,2013,Benzīns,1.0,139000,5950

https://www.ss.lv//msg/lv/transport/cars/mercedes/glc-300/cbfndi.html ,https://i.ss.lv/gallery/7/1215/303700/60739980.th2.jpg ,"Mercedes Glc 300, 2.0 Benzīns 180 kw / 245zs, Automātiskā ātrumkārba",MercedesGLC 300,2017,Benzīns,2.0,97000,21000

https://www.ss.lv//msg/lv/transport/cars/audi/s4/gclkf.html ,https://i.ss.lv/gallery/7/1218/304429/60885603.th2.jpg ,Audi s4 quattro labā tehniskā un vizuālā stāvoklī. 253Kw/344Zs. 2 atslēg,AudiS4,2004,Benzīns,4.2,211000,6500

https://www.ss.lv//msg/lv/transport/cars/dodge/journey/bomnnm.html ,https://i.ss.lv/gallery/7/1218/304426/60885053.th2.jpg ,"Komfortabls auto, piemērots ģimenei - Dodge Journey (Crossroad komplektā",DodgeJourney,2019,Benzīns,2.4,142000,16000

https://www.ss.lv//msg/lv/transport/cars/chevrolet/orlando/bpeijx.html ,https://i.ss.lv/gallery/7/1218/304427/60885399.th2.jpg ,"Ļoti komfortabls, ietilpīgs un uzticams auto. 7 sēdvietas. Ar klasisko, ",ChevroletOrlando,2012,Benzīns,1.8,252000,4390

https://www.ss.lv//msg/lv/transport/cars/mazda/mazda3/ficdx.html ,https://i.ss.lv/gallery/7/1218/304426/60885116.th2.jpg ,Продам малышку мазду3.Работает отлично. Есть два дефекта ремонт где-то 8,MazdaMazda3,2008,Benzīns,1.4,183000,850

https://www.ss.lv//msg/lv/transport/cars/peugeot/3008/cbgpgf.html ,https://i.ss.lv/gallery/7/1209/302186/60437025.th2.jpg ,"Peugeot 3008 1, 6i benzīns 88 Kw 120 Hp, pirmā reģistrācija 10.09.2009. ",Peugeot3008,2009,Benzīns,1.6,178000,5250

https://www.ss.lv//msg/lv/transport/cars/bmw/320/dfkid.html ,https://i.ss.lv/gallery/7/1218/304425/60884837.th2.jpg ,Esmu vienīgais saimnieks. Pirku jaunu uz pasūtījuma BMW Inchape Latvija ,Bmw320,2018,Benzīns,2.0,90000,21000

https://www.ss.lv//msg/lv/transport/cars/audi/a8/gbjin.html ,https://i.ss.lv/gallery/7/1202/300314/60062638.th2.jpg ,"Tirgojas skaists audi A8.Jauna tehniskā apskate, nelieli vizuāli defekti",AudiA8,2003,Benzīns,4.2,275000,3400

https://www.ss.lv//msg/lv/transport/cars/toyota/rav-4/bkmnxp.html ,https://i.ss.lv/gallery/7/1218/304424/60884782.th2.jpg ,Продаю Toyota Rav-4. Куплена в Латвии. Один хозяин. Техосмотр до ноябр,ToyotaRAV 4,2005,Benzīns,2.0,205000,3800

https://www.ss.lv//msg/lv/transport/cars/uaz/another/dniob.html ,https://i.ss.lv/gallery/6/1077/269071/53814149.th2.jpg ,Pārdodu uaz blokiejosiem tiltiem bez dokumentiem ejos var braukt pa besc,UazCiti,1985,Benzīns,2.4,317000,700

https://www.ss.lv//msg/lv/transport/cars/citroen/berlingo/bhofdx.html ,https://i.ss.lv/gallery/7/1218/304424/60884731.th2.jpg ,"Pārdod. Rūc brauc, bremzē. Katalizators vietā.",CitroenBerlingo,2007,Benzīns,1.4,299000,350

https://www.ss.lv//msg/lv/transport/cars/honda/civic/hxxgh.html ,https://i.ss.lv/gallery/7/1218/304416/60883104.th2.jpg ,"Pārdod Honda Civic labā stāvoklī, 1.6 bendzīns, manuals. Foršs ikdiena",HondaCivic,2003,Benzīns,1.6,211000,1600

https://www.ss.lv//msg/lv/transport/cars/toyota/rav-4/cbombx.html ,https://i.ss.lv/gallery/7/1208/301763/60352419.th2.jpg ,Toyota Rav4 2.0 Pilnpiedziņa 4x4 Ražotāja garantija līdz 2025.01 gadam,ToyotaRAV 4,2022,Benzīns,2.0,40000,27990

https://www.ss.lv//msg/lv/transport/cars/skoda/octavia/cbocfp.html ,https://i.ss.lv/gallery/6/1188/296821/59364051.th2.jpg ,Pārdodās ideāls auto ar noskrējienu 50t km. tikko veikta apkope Verte ,SkodaOctavia,2020,Benzīns,1.0,51000,15700

https://www.ss.lv//msg/lv/transport/cars/audi/a4/bclihh.html ,https://i.ss.lv/gallery/7/1204/300831/60166017.th2.jpg ,Pardosana labi saglabājies audi a4 1995 gada 1.6 benzīns. auto skate bei,AudiA4,1995,Benzīns,1.6,235000,550

https://www.ss.lv//msg/lv/transport/cars/porsche/cayenne/cciikm.html ,https://i.ss.lv/gallery/7/1218/304419/60883719.th2.jpg ,"Porsche Cayenne M/t. 2007. gada. 3.6 benzīns, 213 Kw (290 Hp)Par ies",PorscheCayenne,2007,Benzīns,3.6,93000,14500

https://www.ss.lv//msg/lv/transport/cars/bmw/118/ophkb.html ,https://i.ss.lv/gallery/6/1196/298973/59794420.th2.jpg ,"Pardodu Bmw 118i ar 105kw/143zs dzinēju. Oriģināls nobraukums 151000, pā",Bmw118,2008,Benzīns,2.0,151000,4100

https://www.ss.lv//msg/lv/transport/cars/subaru/xv/ccbxdh.html ,https://i.ss.lv/gallery/6/1180/294923/58984430.th2.jpg ,"Subaru XV 2.0i ar 156 z/s jaudu, Automāts, Pastāvīga Pilnpiedziņa. L",SubaruXV,2018,Benzīns,2.0,106000,18900

https://www.ss.lv//msg/lv/transport/cars/toyota/corolla/acjjg.html ,https://i.ss.lv/gallery/6/1182/295347/59069379.th2.jpg ,Pārdod Toyota Corolla 1.5 benzīns. Cena ar Pvn21%. Ražotāja garantija. J,ToyotaCorolla,2022,Benzīns,1.5,20000,17350

https://www.ss.lv//msg/lv/transport/cars/subaru/xv/cbighj.html ,https://i.ss.lv/gallery/7/1209/302190/60437867.th2.jpg ,"Subaru XV 2.0 Summit Cvt-Automāts, Pastāvīga Pilnpiedziņa. Latvijas ",SubaruXV,2018,Benzīns,2.0,94000,19500

https://www.ss.lv//msg/lv/transport/cars/volkswagen/golf-plus/cbioxm.html ,https://i.ss.lv/gallery/7/1212/302898/60579490.th2.jpg ,Auto tikko atdzīts no Austrijas izieta tehniskā apskate bez aizrādijumie,VolkswagenGolf Plus,2012,Benzīns,1.2,180000,6000

https://www.ss.lv//msg/lv/transport/cars/peugeot/3008/bhjepb.html ,https://i.ss.lv/gallery/7/1210/302378/60475528.th2.jpg ,"Labs aprīkojums, borta dators, lietus sensors, auto logu tīrītājs, auto ",Peugeot3008,2010,Benzīns,1.6,236000,3400

https://www.ss.lv//msg/lv/transport/cars/volkswagen/passat-b7/bghiki.html ,https://i.ss.lv/gallery/6/1197/299226/59845130.th2.jpg ,"Pārdod uzņēmums cena norādīta ar Pvn, ir dazi vizuālie defektiņi kas bra",VolkswagenPassat (B7),2012,Benzīns,1.8,340000,2900

https://www.ss.lv//msg/lv/transport/cars/audi/a4/blhefh.html ,https://i.ss.lv/gallery/6/1196/298757/59751317.th2.jpg ,"Pārdodu Audi 1.8 Turbo Quatro (4x4), . noskrējiens tikai 165 700km. Jaun",AudiA4,2000,Benzīns,1.8,166000,3450

https://www.ss.lv//msg/lv/transport/cars/mazda/cx-7/bjcjej.html ,https://i.ss.lv/gallery/6/1190/297274/59454695.th2.jpg ,"Benzīns, mehānika Auto labā stāvoklī nodoklis par 2024gadu ir samaksāts.",MazdaCX-7,2007,Benzīns,2.3,290000,1950

https://www.ss.lv//msg/lv/transport/cars/fiat/another/ijglm.html ,https://i.ss.lv/gallery/7/1212/302944/60588740.th2.jpg ,"Pārdod Fiat Abarth 500, 1 of 695 esseesse, Akropovič, 1, 4 16V 132kW / 1",FiatCiti,2024,Benzīns,1.4,8.9000,28990

https://www.ss.lv//msg/lv/transport/cars/toyota/yaris/bfobfm.html ,https://i.ss.lv/gallery/7/1212/302854/60570612.th2.jpg ,Tikko izieta TA bez aizradījumiem. Auto ļoti labā tehniskā stāvoklī. Ori,ToyotaYaris,2002,Benzīns,1.3,207000,950

https://www.ss.lv//msg/lv/transport/cars/bmw/x3/cciigc.html ,https://i.ss.lv/gallery/7/1218/304409/60881736.th2.jpg ,BMW X3 30i xDrive AT / 2018.G. Krāsa: sophisto-grau brillant Metalli,BmwX3,2018,Benzīns,2.0,142000,27800

https://www.ss.lv//msg/lv/transport/cars/mini/countryman/cxgllf.html ,https://i.ss.lv/gallery/6/1199/299609/59921722.th2.jpg ,"Mini Countryman 1, 6 benzīns (122zs) ar oriģinālu, pierādāmu 59000 km no",MiniCountryman,2013,Benzīns,1.6,59000,9500

https://www.ss.lv//msg/lv/transport/cars/volkswagen/golf-8/cchkeb.html ,https://i.ss.lv/gallery/7/1216/303804/60760623.th2.jpg ,"1 īpašnieks, pirkta jauna Latvijā, jaunas automašīnas stāvoklis. Pārdod ",VolkswagenGolf 8,2021,Benzīns,1.5,98000,18000

https://www.ss.lv//msg/lv/transport/cars/vaz/2121/jgpeg.html ,https://i.ss.lv/gallery/6/1199/299593/59918424.th2.jpg ,"Pārdodu Nivu, nostāvējusi kādu laiku, nav darbināta. Ir rūsa, būs jāmeti",Vaz2121,1986,Benzīns,1.6,91000,900

https://www.ss.lv//msg/lv/transport/cars/audi/100/didfe.html ,https://i.ss.lv/gallery/6/1173/293222/58644321.th2.jpg ,"Iespējama maiņa. Pārdodu savu projekta auto, auto stāvējis, bet rūc un b",Audi100,1986,Benzīns,2.2,331000,1250

https://www.ss.lv//msg/lv/transport/cars/skoda/scala/cbiblk.html ,https://i.ss.lv/gallery/7/1207/301745/60348897.th2.jpg ,"Pārdodu automašīnu Škoda Scala Monte Carlo versiju ar 1, 5 Tsi (110kW/15",SkodaScala,2023,Benzīns,1.5,6.3000,23950
